category,sub_category,block,Option1,Option2,Option3,Option4
RIGOUR,RIGOUR_4,15,discriminating,subtle,sophisticated,unreliable
RIGOUR,RIGOUR_5,1,precise,painstaking,adequate,unreliable
RIGOUR,RIGOUR_5,2,careful,cohesive,painstaking,adequate
RIGOUR,RIGOUR_5,3,careful,painstaking,rigorous,unreliable
RIGOUR,RIGOUR_5,4,precise,careful,rigorous,adequate
RIGOUR,RIGOUR_5,5,precise,cohesive,painstaking,rigorous
RIGOUR,RIGOUR_5,6,cohesive,rigorous,adequate,unreliable
RIGOUR,RIGOUR_5,7,precise,careful,cohesive,unreliable
SCALE,SCALE_1,1,deeper,limited,sizable,wide-ranging
SCALE,SCALE_1,2,gigantic,limited,multifarious,ample
SCALE,SCALE_1,3,extensive,limited,overpowering,largest
SCALE,SCALE_1,4,overwhelming,limited,exhaustive,monumental
SCALE,SCALE_1,5,multifarious,monumental,sizable,largest
SCALE,SCALE_1,6,extensive,gigantic,exhaustive,sizable
SCALE,SCALE_1,7,gigantic,overpowering,monumental,wide-ranging
SCALE,SCALE_1,8,deeper,multifarious,exhaustive,overpowering
SCALE,SCALE_1,9,ample,exhaustive,largest,wide-ranging
SCALE,SCALE_1,10,extensive,deeper,ample,monumental
SCALE,SCALE_1,11,extensive,overwhelming,multifarious,wide-ranging
SCALE,SCALE_1,12,overwhelming,deeper,gigantic,largest
SCALE,SCALE_1,13,overwhelming,ample,overpowering,sizable
SCALE,SCALE_2,1,considerable,immediate,staggering,sweeping
SCALE,SCALE_2,2,generous,immediate,adequate,limited
SCALE,SCALE_2,3,top,immediate,broad,innumerable
SCALE,SCALE_2,4,fastest,immediate,greatest,vast
SCALE,SCALE_2,5,adequate,vast,staggering,innumerable
SCALE,SCALE_2,6,top,generous,greatest,staggering
SCALE,SCALE_2,7,generous,broad,vast,sweeping
SCALE,SCALE_2,8,considerable,adequate,greatest,broad
SCALE,SCALE_2,9,limited,greatest,innumerable,sweeping
SCALE,SCALE_2,10,top,considerable,limited,vast
SCALE,SCALE_2,11,top,fastest,adequate,sweeping
SCALE,SCALE_2,12,fastest,considerable,generous,innumerable
SCALE,SCALE_2,13,fastest,limited,broad,staggering
SCALE,SCALE_3,1,colossal,gigantic,plenty,prompt
SCALE,SCALE_3,2,biggest,gigantic,adequate,complete
SCALE,SCALE_3,3,mammoth,gigantic,tremendous,instant
SCALE,SCALE_3,4,global,gigantic,international,countless
SCALE,SCALE_3,5,adequate,countless,plenty,instant
SCALE,SCALE_3,6,mammoth,biggest,international,plenty
SCALE,SCALE_3,7,biggest,tremendous,countless,prompt
SCALE,SCALE_3,8,colossal,adequate,international,tremendous
SCALE,SCALE_3,9,complete,international,instant,prompt
SCALE,SCALE_3,10,mammoth,colossal,complete,countless
SCALE,SCALE_3,11,mammoth,global,adequate,prompt
SCALE,SCALE_3,12,global,colossal,biggest,instant
SCALE,SCALE_3,13,global,complete,tremendous,plenty
SCALE,SCALE_4,1,myriad,gigantic,limited,abundant
SCALE,SCALE_4,2,intense,limited,expansive,abundant
SCALE,SCALE_4,3,worldwide,huge,gigantic,expansive
SCALE,SCALE_4,4,substantial,worldwide,expansive,abundant
SCALE,SCALE_4,5,substantial,myriad,expansive,immense
SCALE,SCALE_4,6,intense,worldwide,myriad,huge
SCALE,SCALE_4,7,intense,substantial,myriad,gigantic
SCALE,SCALE_4,8,worldwide,myriad,immense,abundant
SCALE,SCALE_4,9,intense,worldwide,limited,immense
SCALE,SCALE_4,10,huge,gigantic,immense,abundant
SCALE,SCALE_4,11,substantial,huge,limited,immense
SCALE,SCALE_4,12,myriad,huge,limited,expansive
SCALE,SCALE_4,13,substantial,worldwide,gigantic,limited
SCALE,SCALE_4,14,intense,gigantic,expansive,immense
SCALE,SCALE_4,15,intense,substantial,huge,abundant
SCALE,SCALE_5,1,transdisciplinary / interdisciplinary / interprofessional,massive,enormous,limited
SCALE,SCALE_5,2,comprehensive,massive,diverse,far-reaching
SCALE,SCALE_5,3,comprehensive,massive,enormous,limited
SCALE,SCALE_5,4,massive,diverse,enormous,adequate
SCALE,SCALE_5,5,comprehensive,transdisciplinary / interdisciplinary / interprofessional,enormous,far-reaching
SCALE,SCALE_5,6,transdisciplinary / interdisciplinary / interprofessional,diverse,adequate,limited
SCALE,SCALE_5,7,massive,diverse,far-reaching,limited
SCALE,SCALE_5,8,comprehensive,transdisciplinary / interdisciplinary / interprofessional,massive,adequate
SCALE,SCALE_5,9,enormous,far-reaching,adequate,limited
SCALE,SCALE_5,10,comprehensive,transdisciplinary / interdisciplinary / interprofessional,diverse,limited
SCALE,SCALE_5,11,transdisciplinary / interdisciplinary / interprofessional,diverse,enormous,far-reaching
SCALE,SCALE_5,12,comprehensive,diverse,enormous,adequate
SCALE,SCALE_5,13,comprehensive,far-reaching,adequate,limited
SCALE,SCALE_5,14,transdisciplinary / interdisciplinary / interprofessional,massive,far-reaching,adequate
UTILITY,UTILITY_1,1,practicable,transferable,optimal,self-explanatory
UTILITY,UTILITY_1,2,timely,transferable,transformative,ineffective
UTILITY,UTILITY_1,3,valuable,transferable,sustainable,safer
UTILITY,UTILITY_1,4,well-timed,transferable,easy-to-use,impactful
UTILITY,UTILITY_1,5,transformative,impactful,optimal,safer
UTILITY,UTILITY_1,6,valuable,timely,easy-to-use,optimal
UTILITY,UTILITY_1,7,timely,sustainable,impactful,self-explanatory
UTILITY,UTILITY_1,8,practicable,transformative,easy-to-use,sustainable
UTILITY,UTILITY_1,9,ineffective,easy-to-use,safer,self-explanatory
UTILITY,UTILITY_1,10,valuable,practicable,ineffective,impactful
UTILITY,UTILITY_1,11,valuable,well-timed,transformative,self-explanatory
UTILITY,UTILITY_1,12,well-timed,practicable,timely,safer
UTILITY,UTILITY_1,13,well-timed,ineffective,sustainable,optimal
UTILITY,UTILITY_2,1,adequate,simple,opportune,accessible
UTILITY,UTILITY_2,2,ineffective,simple,synergistic,ideal
UTILITY,UTILITY_2,3,durable,simple,concrete,easy
UTILITY,UTILITY_2,4,useful,simple,meaningful,expandable
UTILITY,UTILITY_2,5,synergistic,expandable,opportune,easy
UTILITY,UTILITY_2,6,durable,ineffective,meaningful,opportune
UTILITY,UTILITY_2,7,ineffective,concrete,expandable,accessible
UTILITY,UTILITY_2,8,adequate,synergistic,meaningful,concrete
UTILITY,UTILITY_2,9,ideal,meaningful,easy,accessible
UTILITY,UTILITY_2,10,durable,adequate,ideal,expandable
UTILITY,UTILITY_2,11,durable,useful,synergistic,accessible
UTILITY,UTILITY_2,12,useful,adequate,ineffective,easy
UTILITY,UTILITY_2,13,useful,ideal,concrete,opportune
UTILITY,UTILITY_3,1,tangible,fruitful,tactical,user-friendly
UTILITY,UTILITY_3,2,constructive,fruitful,transformative,adequate
UTILITY,UTILITY_3,3,maintainable,fruitful,deployable,productive
UTILITY,UTILITY_3,4,generalizable,fruitful,high-performance,streamlined
UTILITY,UTILITY_3,5,transformative,streamlined,tactical,productive
UTILITY,UTILITY_3,6,maintainable,constructive,high-performance,tactical
UTILITY,UTILITY_3,7,constructive,deployable,streamlined,user-friendly
UTILITY,UTILITY_3,8,tangible,transformative,high-performance,deployable
UTILITY,UTILITY_3,9,adequate,high-performance,productive,user-friendly
UTILITY,UTILITY_3,10,maintainable,tangible,adequate,streamlined
UTILITY,UTILITY_3,11,maintainable,generalizable,transformative,user-friendly
UTILITY,UTILITY_3,12,generalizable,tangible,constructive,productive
UTILITY,UTILITY_3,13,generalizable,adequate,deployable,tactical
UTILITY,UTILITY_4,1,high-performing,actionable,straightforward,economical
UTILITY,UTILITY_4,2,dependable,actionable,transformative,ineffective
UTILITY,UTILITY_4,3,perfect,actionable,implementable,rich
UTILITY,UTILITY_4,4,seamless,actionable,usable,adaptable
UTILITY,UTILITY_4,5,transformative,adaptable,straightforward,rich
UTILITY,UTILITY_4,6,perfect,dependable,usable,straightforward
UTILITY,UTILITY_4,7,dependable,implementable,adaptable,economical
UTILITY,UTILITY_4,8,high-performing,transformative,usable,implementable
